BRAND;CATEGORY;RMC;DETAIL;SIZE;DIAL;BRACELET;FAMILY;PRICE
ROLEX;SAAT;128349RBR-0047;;36;BLUE OMBRÉ ROMAN NUMERALS;83409 - PRESIDENT;DAY-DATE ;€ 60.500
ROLEX;SAAT;128349RBR-0010;;36;BLUE OMBRÉ 8 DIAMONDS 2 BAGUETTES;83409 - PRESIDENT;DAY-DATE ;€ 63.550
ROLEX;SAAT;128349RBR-0004;;36;WHITE MOTHER-OF-PEARL 8 DIAMONDS 2 BAGUETTES;83409 - PRESIDENT;DAY-DATE ;€ 64.300
ROLEX;SAAT;128349RBR-0051;;36;BRIGHT BLUE 10 BAGUETTES;83409 - PRESIDENT;DAY-DATE ;€ 65.050
ROLEX;SAAT;128349RBR-0053;;36;PINK 10 BAGUETTES;83409 - PRESIDENT;DAY-DATE ;€ 65.050
ROLEX;SAAT;128349RBR-0049;;36;WHITE MOTHER-OF-PEARL 10 BAGUETTES;83409 - PRESIDENT;DAY-DATE ;€ 66.100
ROLEX;SAAT;128349RBR-0008;;36;PINK OPAL 32 DIAMONDS VI & IX 24 DIAMONDS;83409 - PRESIDENT;DAY-DATE ;€ 69.500
ROLEX;SAAT;128349RBR-0031;;36;TURQUOISE 32 DIAMONDS VI & IX 24 DIAMONDS;83409 - PRESIDENT;DAY-DATE ;€ 70.900
ROLEX;SAAT;128349RBR-0006;;36;DIAMOND-PAVED 10 RAINBOW BAGUETTE-CUT SAPPHIRES;83409 - PRESIDENT;DAY-DATE ;€ 91.600
ROLEX;SAAT;128349RBR-0013;;36;SILVER;84809BR - PRESIDENT BR;DAY-DATE ;€ 116.200
ROLEX;SAAT;128349RBR-0044;;36;WHITE ROMAN NUMERALS;84809BR - PRESIDENT BR;DAY-DATE ;€ 116.200
ROLEX;SAAT;128349RBR-0048;;36;BLUE OMBRÉ ROMAN NUMERALS;84809BR - PRESIDENT BR;DAY-DATE ;€ 116.200
ROLEX;SAAT;128349RBR-0016;;36;BLUE OMBRÉ 8 DIAMONDS 2 BAGUETTES;84809BR - PRESIDENT BR;DAY-DATE ;€ 119.250
ROLEX;SAAT;128349RBR-0014;;36;WHITE MOTHER-OF-PEARL 8 DIAMONDS 2 BAGUETTES;84809BR - PRESIDENT BR;DAY-DATE ;€ 120.000
ROLEX;SAAT;128349RBR-0052;;36;BRIGHT BLUE 10 BAGUETTES;84809BR - PRESIDENT BR;DAY-DATE ;€ 120.750
ROLEX;SAAT;128349RBR-0054;;36;PINK 10 BAGUETTES;84809BR - PRESIDENT BR;DAY-DATE ;€ 120.750
ROLEX;SAAT;128349RBR-0050;;36;WHITE MOTHER-OF-PEARL 10 BAGUETTES;84809BR - PRESIDENT BR;DAY-DATE ;€ 121.800
ROLEX;SAAT;128349RBR-0017;;36;PINK OPAL 32 DIAMONDS VI & IX 24 DIAMONDS;84809BR - PRESIDENT BR;DAY-DATE ;€ 125.200
ROLEX;SAAT;128349RBR-0032;;36;TURQUOISE 32 DIAMONDS VI & IX 24 DIAMONDS;84809BR - PRESIDENT BR;DAY-DATE ;€ 126.600
ROLEX;SAAT;128349RBR-0012;;36;DIAMOND-PAVED 10 RAINBOW BAGUETTE-CUT SAPPHIRES;84809BR - PRESIDENT BR;DAY-DATE ;€ 147.300
ROLEX;SAAT;128399TBR-0001;;36;SILVER;83409 - PRESIDENT;DAY-DATE ;€ 86.500
ROLEX;SAAT;128399TBR-0019;;36;WHITE ROMAN NUMERALS;83409 - PRESIDENT;DAY-DATE ;€ 86.500
ROLEX;SAAT;128399TBR-0021;;36;BLUE OMBRÉ ROMAN NUMERALS;83409 - PRESIDENT;DAY-DATE ;€ 86.500
ROLEX;SAAT;128399TBR-0007;;36;BLUE OMBRÉ 8 DIAMONDS 2 DIAMONDS BAGUETTES;83409 - PRESIDENT;DAY-DATE ;€ 89.550
ROLEX;SAAT;128399TBR-0003;;36;WHITE MOTHER-OF-PEARL 8 DIAMONDS 2 DIAMONDS BAGUETTES;83409 - PRESIDENT;DAY-DATE ;€ 90.300
ROLEX;SAAT;128399TBR-0027;;36;BRIGHT BLUE 10 BAGUETTES;83409 - PRESIDENT;DAY-DATE ;€ 91.050
ROLEX;SAAT;128399TBR-0029;;36;PINK 10 BAGUETTES;83409 - PRESIDENT;DAY-DATE ;€ 91.050
ROLEX;SAAT;128399TBR-0023;;36;WHITE MOTHER-OF-PEARL 10 BAGUETTES;83409 - PRESIDENT;DAY-DATE ;€ 92.100
ROLEX;SAAT;128399TBR-0009;;36;PINK OPAL 32 DIAMONDS VI & IX 24 DIAMONDS;83409 - PRESIDENT;DAY-DATE ;€ 95.500
ROLEX;SAAT;128399TBR-0011;;36;TURQUOISE 32 DIAMONDS VI & IX 24 DIAMONDS;83409 - PRESIDENT;DAY-DATE ;€ 96.900
ROLEX;SAAT;128399TBR-0005;;36;DIAMOND-PAVED 10 RAINBOW BAGUETTE-CUT SAPPHIRES;83409 - PRESIDENT;DAY-DATE ;€ 117.600
ROLEX;SAAT;128235-0070;;36;WHITE ROMAN NUMERALS;83405 - PRESIDENT;DAY-DATE ;€ 43.600
ROLEX;SAAT;128235-0075;;36;BROWN OMBRÉ ROMAN NUMERALS;83405 - PRESIDENT;DAY-DATE ;€ 43.600
ROLEX;SAAT;128235-0009;;36;ROSÉ-COLOUR 8 DIAMONDS 2 BAGUETTES;83405 - PRESIDENT;DAY-DATE ;€ 46.650
ROLEX;SAAT;128235-0037;;36;BROWN OMBRÉ 8 DIAMONDS 2 BAGUETTES;83405 - PRESIDENT;DAY-DATE ;€ 46.650
ROLEX;SAAT;128235-0050;;36;SLATE 8 DIAMONDS 2 BAGUETTES;83405 - PRESIDENT;DAY-DATE ;€ 46.650
ROLEX;SAAT;128235-0029;;36;WHITE MOTHER-OF-PEARL 8 DIAMONDS 2 BAGUETTES;83405 - PRESIDENT;DAY-DATE ;€ 47.400
ROLEX;SAAT;128235-0085;;36;BLUE-GREEN 10 BAGUETTES;83405 - PRESIDENT;DAY-DATE ;€ 48.150
ROLEX;SAAT;128235-0087;;36;SILVER 10 BAGUETTES;83405 - PRESIDENT;DAY-DATE ;€ 48.150
ROLEX;SAAT;128235-0078;;36;WHITE MOTHER-OF-PEARL 10 BAGUETTES;83405 - PRESIDENT;DAY-DATE ;€ 49.200
ROLEX;SAAT;128235-0068;;36;GREEN AVENTURINE 32 DIAMONDS VI & IX 24 DIAMONDS;83405 - PRESIDENT;DAY-DATE ;€ 52.600
ROLEX;SAAT;128235-0041;;36;EISENKIESEL 32 DIAMONDS VI & IX 24 DIAMONDS;83405 - PRESIDENT;DAY-DATE ;€ 54.000
ROLEX;SAAT;128235-0064;;36;TURQUOISE 32 DIAMONDS VI & IX 24 DIAMONDS;83405 - PRESIDENT;DAY-DATE ;€ 54.000
ROLEX;SAAT;128235-0039;;36;DIAMOND-PAVED 10 RAINBOW BAGUETTE-CUT SAPPHIRES;83405 - PRESIDENT;DAY-DATE ;€ 74.700
ROLEX;SAAT;128235-0089;;36;OLIVE GREEN ROMAN NUMERALS;83405 - PRESIDENT;DAY-DATE ;€ 43.600
ROLEX;SAAT;128235-0071;;36;WHITE ROMAN NUMERALS;84805BR - PRESIDENT BR;DAY-DATE ;€ 99.300
ROLEX;SAAT;128235-0076;;36;BROWN OMBRÉ ROMAN NUMERALS;84805BR - PRESIDENT BR;DAY-DATE ;€ 99.300
ROLEX;SAAT;128235-0019;;36;ROSÉ-COLOUR 8 DIAMONDS 2 BAGUETTES;84805BR - PRESIDENT BR;DAY-DATE ;€ 102.350
ROLEX;SAAT;128235-0038;;36;BROWN OMBRÉ 8 DIAMONDS 2 BAGUETTES;84805BR - PRESIDENT BR;DAY-DATE ;€ 102.350
ROLEX;SAAT;128235-0051;;36;SLATE 8 DIAMONDS 2 BAGUETTES;84805BR - PRESIDENT BR;DAY-DATE ;€ 102.350
ROLEX;SAAT;128235-0032;;36;WHITE MOTHER-OF-PEARL 8 DIAMONDS 2 BAGUETTES;84805BR - PRESIDENT BR;DAY-DATE ;€ 103.100
ROLEX;SAAT;128235-0086;;36;BLUE-GREEN 10 BAGUETTES;84805BR - PRESIDENT BR;DAY-DATE ;€ 103.850
ROLEX;SAAT;128235-0088;;36;SILVER 10 BAGUETTES;84805BR - PRESIDENT BR;DAY-DATE ;€ 103.850
ROLEX;SAAT;128235-0079;;36;WHITE MOTHER-OF-PEARL 10 BAGUETTES;84805BR - PRESIDENT BR;DAY-DATE ;€ 104.900
ROLEX;SAAT;128235-0069;;36;GREEN AVENTURINE 32 DIAMONDS VI & IX 24 DIAMONDS;84805BR - PRESIDENT BR;DAY-DATE ;€ 108.300
ROLEX;SAAT;128235-0042;;36;EISENKIESEL 32 DIAMONDS VI & IX 24 DIAMONDS;84805BR - PRESIDENT BR;DAY-DATE ;€ 109.700
ROLEX;SAAT;128235-0065;;36;TURQUOISE 32 DIAMONDS VI & IX 24 DIAMONDS;84805BR - PRESIDENT BR;DAY-DATE ;€ 109.700
ROLEX;SAAT;128235-0040;;36;DIAMOND-PAVED 10 RAINBOW BAGUETTE-CUT SAPPHIRES;84805BR - PRESIDENT BR;DAY-DATE ;€ 130.400
ROLEX;SAAT;128345RBR-0070;;36;WHITE ROMAN NUMERALS;83405 - PRESIDENT;DAY-DATE ;€ 60.500
ROLEX;SAAT;128345RBR-0075;;36;BROWN OMBRÉ ROMAN NUMERALS;83405 - PRESIDENT;DAY-DATE ;€ 60.500
ROLEX;SAAT;128345RBR-0009;;36;ROSÉ-COLOUR 8 DIAMONDS 2 BAGUETTES;83405 - PRESIDENT;DAY-DATE ;€ 63.550
ROLEX;SAAT;128345RBR-0040;;36;BROWN OMBRÉ 8 DIAMONDS 2 BAGUETTES;83405 - PRESIDENT;DAY-DATE ;€ 63.550
ROLEX;SAAT;128345RBR-0052;;36;SLATE 8 DIAMONDS 2 BAGUETTES;83405 - PRESIDENT;DAY-DATE ;€ 63.550
ROLEX;SAAT;128345RBR-0028;;36;WHITE MOTHER-OF-PEARL 8 DIAMONDS 2 BAGUETTES;83405 - PRESIDENT;DAY-DATE ;€ 64.300
ROLEX;SAAT;128345RBR-0081;;36;SILVER 10 BAGUETTES;83405 - PRESIDENT;DAY-DATE ;€ 65.050
ROLEX;SAAT;128345RBR-0083;;36;BLUE-GREEN 10 BAGUETTES;83405 - PRESIDENT;DAY-DATE ;€ 65.050
ROLEX;SAAT;128345RBR-0077;;36;WHITE MOTHER-OF-PEARL 10 BAGUETTES;83405 - PRESIDENT;DAY-DATE ;€ 66.100
ROLEX;SAAT;128345RBR-0068;;36;GREEN AVENTURINE 32 DIAMONDS VI & IX 24 DIAMONDS;83405 - PRESIDENT;DAY-DATE ;€ 69.500
ROLEX;SAAT;128345RBR-0044;;36;EISENKIESEL 32 DIAMONDS VI & IX 24 DIAMONDS;83405 - PRESIDENT;DAY-DATE ;€ 70.900
ROLEX;SAAT;128345RBR-0064;;36;TURQUOISE 32 DIAMONDS VI & IX 24 DIAMONDS;83405 - PRESIDENT;DAY-DATE ;€ 70.900
ROLEX;SAAT;128345RBR-0042;;36;DIAMOND-PAVED 10 RAINBOW BAGUETTE-CUT SAPPHIRES;83405 - PRESIDENT;DAY-DATE ;€ 91.600
ROLEX;SAAT;128345RBR-0085;;36;OLIVE GREEN ROMAN NUMERALS;83405 - PRESIDENT;DAY-DATE ;€ 60.500
ROLEX;SAAT;128345RBR-0071;;36;WHITE ROMAN NUMERALS;84805BR - PRESIDENT BR;DAY-DATE ;€ 116.200
ROLEX;SAAT;128345RBR-0076;;36;BROWN OMBRÉ ROMAN NUMERALS;84805BR - PRESIDENT BR;DAY-DATE ;€ 116.200
